starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 18 00:53:27 2019	1566082407	0	95	95	95
Sun Aug 18 00:53:44 2019	1566082424	0	95	95	94
Sun Aug 18 00:53:47 2019	1566082427	0	95	95	95
Sun Aug 18 00:53:42 2019	1566082422	0	95	95	95
Sun Aug 18 00:53:45 2019	1566082425	0	95	95	94
Sun Aug 18 00:53:39 2019	1566082419	0	95	95	95
Sun Aug 18 00:53:43 2019	1566082423	0	95	95	95
Sun Aug 18 00:53:21 2019	1566082401	0	95	95	95
Sun Aug 18 00:53:22 2019	1566082402	0	95	95	94
Sun Aug 18 00:53:36 2019	1566082416	0	95	95	95
Sun Aug 18 00:53:21 2019	1566082401	0	95	95	95
Sun Aug 18 00:53:24 2019	1566082404	0	95	95	95
Sun Aug 18 00:53:42 2019	1566082422	0	95	95	95
Sun Aug 18 00:53:48 2019	1566082428	0	95	95	95
Sun Aug 18 00:53:24 2019	1566082404	0	95	95	95
Sun Aug 18 00:53:20 2019	1566082400	0	95	95	95
Sun Aug 18 00:53:22 2019	1566082402	0	95	95	95
Sun Aug 18 00:53:24 2019	1566082404	0	95	95	94
Sun Aug 18 00:53:22 2019	1566082402	0	95	95	95
Sun Aug 18 00:53:46 2019	1566082426	0	95	95	95
Sun Aug 18 00:53:22 2019	1566082402	0	95	95	95
Sun Aug 18 00:53:25 2019	1566082405	0	95	95	95
Sun Aug 18 00:53:20 2019	1566082400	0	95	95	95
Sun Aug 18 00:53:24 2019	1566082404	0	95	95	95
Sun Aug 18 00:53:42 2019	1566082422	0	95	95	95
Sun Aug 18 00:53:37 2019	1566082417	0	95	95	95
Sun Aug 18 00:53:24 2019	1566082404	0	95	95	95
Sun Aug 18 00:53:49 2019	1566082429	0	95	95	95
Sun Aug 18 00:53:24 2019	1566082404	0	95	95	95
Sun Aug 18 00:53:46 2019	1566082426	0	95	95	95
Sun Aug 18 00:53:47 2019	1566082427	0	95	95	95
Sun Aug 18 00:53:34 2019	1566082414	0	95	95	95
Sun Aug 18 00:53:37 2019	1566082417	0	95	95	95
Sun Aug 18 00:53:40 2019	1566082420	0	95	95	95
Sun Aug 18 00:53:31 2019	1566082411	0	95	95	95
Sun Aug 18 00:53:46 2019	1566082426	0	95	95	95
Sun Aug 18 00:53:30 2019	1566082410	0	95	95	95
Sun Aug 18 00:53:38 2019	1566082418	0	95	95	95
Sun Aug 18 00:53:22 2019	1566082402	0	95	95	95
Sun Aug 18 00:53:38 2019	1566082418	0	95	95	95
Sun Aug 18 00:53:29 2019	1566082409	0	95	95	95
Sun Aug 18 00:53:37 2019	1566082417	0	95	95	95
Sun Aug 18 00:53:29 2019	1566082409	0	95	95	95
Sun Aug 18 00:53:31 2019	1566082411	0	95	95	95
Sun Aug 18 00:53:32 2019	1566082412	0	95	95	95
Sun Aug 18 00:53:40 2019	1566082420	0	95	95	95
Sun Aug 18 00:53:41 2019	1566082421	0	95	95	95
Sun Aug 18 00:53:29 2019	1566082409	0	95	95	95
Sun Aug 18 00:53:23 2019	1566082403	0	95	95	95
Sun Aug 18 00:53:43 2019	1566082423	0	95	95	95
Sun Aug 18 00:53:31 2019	1566082411	0	95	95	95
Sun Aug 18 00:53:30 2019	1566082410	0	95	95	95
Sun Aug 18 00:53:29 2019	1566082409	0	95	95	95
Sun Aug 18 00:53:47 2019	1566082427	0	95	95	95
Sun Aug 18 00:53:44 2019	1566082424	0	95	95	95
Sun Aug 18 00:53:49 2019	1566082429	0	95	95	95
Sun Aug 18 00:53:39 2019	1566082419	0	95	95	95
Sun Aug 18 00:53:34 2019	1566082414	0	95	95	95
Sun Aug 18 00:53:31 2019	1566082411	0	95	95	95
Sun Aug 18 00:53:26 2019	1566082406	0	95	95	95
Sun Aug 18 00:53:26 2019	1566082406	0	95	95	95
Sun Aug 18 00:53:38 2019	1566082418	0	95	96	95
Sun Aug 18 00:53:46 2019	1566082426	0	95	96	95
Sun Aug 18 00:53:26 2019	1566082406	0	95	96	95
Sun Aug 18 00:53:22 2019	1566082402	0	95	96	95
Sun Aug 18 00:53:21 2019	1566082401	0	95	96	95
Sun Aug 18 00:53:28 2019	1566082408	0	95	96	95
Sun Aug 18 00:53:33 2019	1566082413	0	95	96	95
Sun Aug 18 00:53:36 2019	1566082416	0	96	96	95
Sun Aug 18 00:53:20 2019	1566082400	0	95	96	95
Sun Aug 18 00:53:38 2019	1566082418	0	95	96	95
Sun Aug 18 00:53:26 2019	1566082406	0	96	96	95
Sun Aug 18 00:53:24 2019	1566082404	0	96	96	95
Sun Aug 18 00:53:43 2019	1566082423	0	96	96	95
Sun Aug 18 00:53:24 2019	1566082404	0	96	96	95
Sun Aug 18 00:53:23 2019	1566082403	0	96	96	96
Sun Aug 18 00:53:41 2019	1566082421	0	96	96	95
Sun Aug 18 00:53:23 2019	1566082403	0	96	96	96
Sun Aug 18 00:53:31 2019	1566082411	0	96	96	95
Sun Aug 18 00:53:26 2019	1566082406	0	96	96	95
Sun Aug 18 00:53:24 2019	1566082404	0	96	96	95
Sun Aug 18 00:53:38 2019	1566082418	0	96	96	96
Sun Aug 18 00:53:36 2019	1566082416	0	96	96	95
Sun Aug 18 00:53:24 2019	1566082404	0	96	96	95
Sun Aug 18 00:53:41 2019	1566082421	0	96	96	95
Sun Aug 18 00:53:22 2019	1566082402	0	96	96	95
Sun Aug 18 00:53:46 2019	1566082426	0	96	96	95
Sun Aug 18 00:53:20 2019	1566082400	0	96	96	95
Sun Aug 18 00:53:44 2019	1566082424	0	96	96	95
Sun Aug 18 00:53:36 2019	1566082416	0	96	96	95
Sun Aug 18 00:53:40 2019	1566082420	0	96	96	95
Sun Aug 18 00:53:43 2019	1566082423	0	96	96	95
Sun Aug 18 00:53:45 2019	1566082425	0	96	96	95
Sun Aug 18 00:53:39 2019	1566082419	0	96	96	96
Sun Aug 18 00:53:26 2019	1566082406	0	96	96	96
Sun Aug 18 00:53:47 2019	1566082427	0	96	96	95
Sun Aug 18 00:53:41 2019	1566082421	0	96	96	96
Sun Aug 18 00:53:20 2019	1566082400	0	96	96	96
Sun Aug 18 00:53:40 2019	1566082420	0	96	96	96
Sun Aug 18 00:53:26 2019	1566082406	0	96	96	96
Sun Aug 18 00:53:31 2019	1566082411	0	96	96	96
Sun Aug 18 00:53:20 2019	1566082400	0	96	96	96
Sun Aug 18 00:53:31 2019	1566082411	0	96	96	96
Sun Aug 18 00:53:29 2019	1566082409	0	96	96	96
Sun Aug 18 00:53:25 2019	1566082405	0	96	96	96
Sun Aug 18 00:53:41 2019	1566082421	0	96	96	96
Sun Aug 18 00:53:47 2019	1566082427	0	96	96	96
Sun Aug 18 00:53:47 2019	1566082427	0	96	96	95
Sun Aug 18 00:53:43 2019	1566082423	0	96	96	96
Sun Aug 18 00:53:45 2019	1566082425	0	96	96	96
Sun Aug 18 00:53:27 2019	1566082407	0	96	96	96
Sun Aug 18 00:53:27 2019	1566082407	0	96	96	96
Sun Aug 18 00:53:40 2019	1566082420	0	96	96	96
Sun Aug 18 00:53:27 2019	1566082407	0	96	96	96
Sun Aug 18 00:53:38 2019	1566082418	0	96	96	96
Sun Aug 18 00:53:27 2019	1566082407	0	96	96	96
Sun Aug 18 00:53:32 2019	1566082412	0	96	96	96
Sun Aug 18 00:53:28 2019	1566082408	0	96	96	96
Sun Aug 18 00:53:41 2019	1566082421	0	96	96	96
Sun Aug 18 00:53:44 2019	1566082424	0	96	96	96
Sun Aug 18 00:53:43 2019	1566082423	0	96	96	96
Sun Aug 18 00:53:30 2019	1566082410	0	96	96	96
Sun Aug 18 00:53:21 2019	1566082401	0	96	96	96
Sun Aug 18 00:53:41 2019	1566082421	0	96	96	96
Sun Aug 18 00:53:24 2019	1566082404	0	96	96	96
Sun Aug 18 00:53:29 2019	1566082409	0	96	96	96
Sun Aug 18 00:53:31 2019	1566082411	0	96	96	96
Sun Aug 18 00:53:23 2019	1566082403	0	96	96	96
Sun Aug 18 00:53:42 2019	1566082422	0	96	96	96
Sun Aug 18 00:53:31 2019	1566082411	0	96	96	96
Sun Aug 18 00:53:48 2019	1566082428	0	96	96	96
Sun Aug 18 00:53:23 2019	1566082403	0	96	96	96
Sun Aug 18 00:53:21 2019	1566082401	0	96	96	96
Sun Aug 18 00:53:31 2019	1566082411	0	96	96	96
Sun Aug 18 00:53:36 2019	1566082416	0	96	96	96
Sun Aug 18 00:53:42 2019	1566082422	0	96	96	96
Sun Aug 18 00:53:22 2019	1566082402	0	96	96	96
Sun Aug 18 00:53:47 2019	1566082427	0	96	96	96
Sun Aug 18 00:53:46 2019	1566082426	0	96	96	96
Sun Aug 18 00:53:39 2019	1566082419	0	96	97	96
Sun Aug 18 00:53:43 2019	1566082423	0	96	97	96
Sun Aug 18 00:53:32 2019	1566082412	0	96	97	96
Sun Aug 18 00:53:38 2019	1566082418	0	96	97	96
Sun Aug 18 00:53:20 2019	1566082400	0	96	97	96
Sun Aug 18 00:53:33 2019	1566082413	0	96	97	96
Sun Aug 18 00:53:23 2019	1566082403	0	97	97	96
Sun Aug 18 00:53:23 2019	1566082403	0	97	97	96
Sun Aug 18 00:53:28 2019	1566082408	0	97	97	96
Sun Aug 18 00:53:25 2019	1566082405	0	97	97	97
Sun Aug 18 00:53:47 2019	1566082427	0	97	97	96
Sun Aug 18 00:53:23 2019	1566082403	0	97	97	97
Sun Aug 18 00:53:41 2019	1566082421	0	97	97	96
Sun Aug 18 00:53:47 2019	1566082427	0	97	97	96
Sun Aug 18 00:53:24 2019	1566082404	0	97	97	96
Sun Aug 18 00:53:38 2019	1566082418	0	97	97	97
Sun Aug 18 00:53:23 2019	1566082403	0	97	97	97
Sun Aug 18 00:53:29 2019	1566082409	0	97	97	96
Sun Aug 18 00:53:38 2019	1566082418	0	97	97	96
Sun Aug 18 00:53:31 2019	1566082411	0	97	97	97
Sun Aug 18 00:53:26 2019	1566082406	0	97	97	97
Sun Aug 18 00:53:24 2019	1566082404	0	97	97	96
Sun Aug 18 00:53:33 2019	1566082413	0	97	97	97
Sun Aug 18 00:53:20 2019	1566082400	0	97	97	97
Sun Aug 18 00:53:24 2019	1566082404	0	97	97	97
Sun Aug 18 00:53:47 2019	1566082427	0	97	97	97
Sun Aug 18 00:53:28 2019	1566082408	0	97	97	96
Sun Aug 18 00:53:40 2019	1566082420	0	97	97	97
Sun Aug 18 00:53:49 2019	1566082429	0	97	97	97
Sun Aug 18 00:53:40 2019	1566082420	0	97	97	97
Sun Aug 18 00:53:36 2019	1566082416	0	97	97	97
Sun Aug 18 00:53:35 2019	1566082415	0	97	97	97
Sun Aug 18 00:53:32 2019	1566082412	0	97	97	97
Sun Aug 18 00:53:25 2019	1566082405	0	97	97	97
Sun Aug 18 00:53:46 2019	1566082426	0	97	97	97
Sun Aug 18 00:53:31 2019	1566082411	0	97	97	97
Sun Aug 18 00:53:29 2019	1566082409	0	97	97	97
Sun Aug 18 00:53:35 2019	1566082415	0	97	97	97
Sun Aug 18 00:53:45 2019	1566082425	0	97	97	97
Sun Aug 18 00:53:44 2019	1566082424	0	97	97	97
Sun Aug 18 00:53:45 2019	1566082425	0	97	97	97
Sun Aug 18 00:53:30 2019	1566082410	0	97	97	97
Sun Aug 18 00:53:32 2019	1566082412	0	97	97	97
Sun Aug 18 00:53:28 2019	1566082408	0	97	97	97
Sun Aug 18 00:53:24 2019	1566082404	0	97	97	97
Sun Aug 18 00:53:31 2019	1566082411	0	97	97	97
Sun Aug 18 00:53:20 2019	1566082400	0	97	97	97
Sun Aug 18 00:53:35 2019	1566082415	0	97	97	97
Sun Aug 18 00:53:24 2019	1566082404	0	97	97	97
Sun Aug 18 00:53:42 2019	1566082422	0	97	97	97
Sun Aug 18 00:53:48 2019	1566082428	0	97	97	97
Sun Aug 18 00:53:39 2019	1566082419	0	97	97	97
Sun Aug 18 00:53:31 2019	1566082411	0	97	97	97
Sun Aug 18 00:53:35 2019	1566082415	0	97	97	97
Sun Aug 18 00:53:24 2019	1566082404	0	97	97	97
Sun Aug 18 00:53:39 2019	1566082419	0	97	97	97
Sun Aug 18 00:53:34 2019	1566082414	0	97	97	97
Sun Aug 18 00:53:25 2019	1566082405	0	97	97	97
Sun Aug 18 00:53:32 2019	1566082412	0	97	97	97
Sun Aug 18 00:53:47 2019	1566082427	0	97	98	97
Sun Aug 18 00:53:42 2019	1566082422	0	97	98	97
Sun Aug 18 00:53:28 2019	1566082408	0	97	98	97
Sun Aug 18 00:53:38 2019	1566082418	0	97	98	97
Sun Aug 18 00:53:22 2019	1566082402	0	98	98	97
Sun Aug 18 00:53:41 2019	1566082421	0	98	98	97
Sun Aug 18 00:53:38 2019	1566082418	0	98	98	97
Sun Aug 18 00:53:20 2019	1566082400	0	98	98	97
Sun Aug 18 00:53:49 2019	1566082429	0	98	98	97
Sun Aug 18 00:53:29 2019	1566082409	0	98	98	97
Sun Aug 18 00:53:20 2019	1566082400	0	98	98	98
Sun Aug 18 00:53:36 2019	1566082416	0	98	98	98
Sun Aug 18 00:53:22 2019	1566082402	0	98	98	97
Sun Aug 18 00:53:35 2019	1566082415	0	98	98	98
Sun Aug 18 00:53:43 2019	1566082423	0	98	98	97
Sun Aug 18 00:53:45 2019	1566082425	0	98	98	97
Sun Aug 18 00:53:24 2019	1566082404	0	98	98	97
Sun Aug 18 00:53:42 2019	1566082422	0	98	98	98
Sun Aug 18 00:53:28 2019	1566082408	0	98	98	98
Sun Aug 18 00:53:20 2019	1566082400	0	98	98	98
Sun Aug 18 00:53:37 2019	1566082417	0	98	98	98
Sun Aug 18 00:53:24 2019	1566082404	0	98	98	98
Sun Aug 18 00:53:22 2019	1566082402	0	98	98	98
Sun Aug 18 00:53:40 2019	1566082420	0	98	98	98
Sun Aug 18 00:53:31 2019	1566082411	0	98	98	98
Sun Aug 18 00:53:48 2019	1566082428	0	98	98	98
Sun Aug 18 00:53:38 2019	1566082418	0	98	98	98
Sun Aug 18 00:53:46 2019	1566082426	0	98	98	98
Sun Aug 18 00:53:20 2019	1566082400	0	98	98	98
Sun Aug 18 00:53:32 2019	1566082412	0	98	98	98
Sun Aug 18 00:53:26 2019	1566082406	0	98	98	98
Sun Aug 18 00:53:38 2019	1566082418	0	98	98	98
Sun Aug 18 00:53:47 2019	1566082427	0	98	98	98
Sun Aug 18 00:53:25 2019	1566082405	0	98	98	98
Sun Aug 18 00:53:26 2019	1566082406	0	98	98	98
Sun Aug 18 00:53:29 2019	1566082409	0	98	98	98
Sun Aug 18 00:53:31 2019	1566082411	0	98	98	98
Sun Aug 18 00:53:28 2019	1566082408	0	98	98	98
Sun Aug 18 00:53:22 2019	1566082402	0	98	98	98
Sun Aug 18 00:53:33 2019	1566082413	0	98	98	98
Sun Aug 18 00:53:30 2019	1566082410	0	98	98	98
Sun Aug 18 00:53:31 2019	1566082411	0	98	98	98
Sun Aug 18 00:53:30 2019	1566082410	0	98	98	98
Sun Aug 18 00:53:41 2019	1566082421	0	98	98	98
Sun Aug 18 00:53:27 2019	1566082407	0	98	98	98
Sun Aug 18 00:53:27 2019	1566082407	0	98	98	98
Sun Aug 18 00:53:24 2019	1566082404	0	98	99	98
Sun Aug 18 00:53:46 2019	1566082426	0	98	99	98
Sun Aug 18 00:53:37 2019	1566082417	0	98	99	98
Sun Aug 18 00:53:43 2019	1566082423	0	99	99	98
Sun Aug 18 00:53:21 2019	1566082401	0	99	99	98
Sun Aug 18 00:53:40 2019	1566082420	0	99	99	98
Sun Aug 18 00:53:41 2019	1566082421	0	99	99	98
Sun Aug 18 00:53:47 2019	1566082427	0	99	99	98
Sun Aug 18 00:53:25 2019	1566082405	0	99	99	99
Sun Aug 18 00:53:49 2019	1566082429	0	99	99	98
Sun Aug 18 00:53:35 2019	1566082415	0	99	99	98
Sun Aug 18 00:53:36 2019	1566082416	0	99	99	99
Sun Aug 18 00:53:33 2019	1566082413	0	99	99	98
Sun Aug 18 00:53:22 2019	1566082402	0	99	99	98
Sun Aug 18 00:53:46 2019	1566082426	0	99	99	98
Sun Aug 18 00:53:41 2019	1566082421	0	99	99	98
Sun Aug 18 00:53:30 2019	1566082410	0	99	99	99
Sun Aug 18 00:53:27 2019	1566082407	0	99	99	98
Sun Aug 18 00:53:35 2019	1566082415	0	99	99	98
Sun Aug 18 00:53:46 2019	1566082426	0	99	99	99
Sun Aug 18 00:53:34 2019	1566082414	0	99	99	98
Sun Aug 18 00:53:35 2019	1566082415	0	99	99	98
Sun Aug 18 00:53:44 2019	1566082424	0	99	99	99
Sun Aug 18 00:53:22 2019	1566082402	0	99	99	99
Sun Aug 18 00:53:24 2019	1566082404	0	99	99	99
Sun Aug 18 00:53:37 2019	1566082417	0	99	99	99
Sun Aug 18 00:53:46 2019	1566082426	0	99	99	99
Sun Aug 18 00:53:48 2019	1566082428	0	99	99	99
Sun Aug 18 00:53:31 2019	1566082411	0	99	99	99
Sun Aug 18 00:53:34 2019	1566082414	0	99	99	99
Sun Aug 18 00:53:34 2019	1566082414	0	99	99	99
Sun Aug 18 00:53:44 2019	1566082424	0	99	99	99
Sun Aug 18 00:53:44 2019	1566082424	0	99	99	99
Sun Aug 18 00:53:44 2019	1566082424	0	99	99	99
Sun Aug 18 00:53:26 2019	1566082406	0	99	99	99
Sun Aug 18 00:53:37 2019	1566082417	0	99	99	99
Sun Aug 18 00:53:34 2019	1566082414	0	99	99	99
Sun Aug 18 00:53:43 2019	1566082423	0	99	99	99
Sun Aug 18 00:53:23 2019	1566082403	0	99	99	99
Sun Aug 18 00:53:48 2019	1566082428	0	99	99	99
Sun Aug 18 00:53:38 2019	1566082418	0	99	99	99
Sun Aug 18 00:53:22 2019	1566082402	0	99	99	99
Sun Aug 18 00:53:48 2019	1566082428	0	99	99	99
Sun Aug 18 00:53:28 2019	1566082408	0	99	99	99
Sun Aug 18 00:53:39 2019	1566082419	0	99	99	99
Sun Aug 18 00:53:30 2019	1566082410	0	99	99	99
Sun Aug 18 00:53:33 2019	1566082413	0	99	99	99
Sun Aug 18 00:53:32 2019	1566082412	0	99	100	99
Sun Aug 18 00:53:37 2019	1566082417	0	99	100	99
Sun Aug 18 00:53:40 2019	1566082420	0	99	100	99
Sun Aug 18 00:53:27 2019	1566082407	0	99	100	99
Sun Aug 18 00:53:39 2019	1566082419	0	100	100	99
Sun Aug 18 00:53:32 2019	1566082412	0	100	100	99
Sun Aug 18 00:53:30 2019	1566082410	0	100	100	99
Sun Aug 18 00:53:28 2019	1566082408	0	100	100	99
Sun Aug 18 00:53:48 2019	1566082428	0	100	100	99
Sun Aug 18 00:53:37 2019	1566082417	0	100	100	100
Sun Aug 18 00:53:44 2019	1566082424	0	100	100	99
Sun Aug 18 00:53:29 2019	1566082409	0	100	100	99
Sun Aug 18 00:53:33 2019	1566082413	0	100	100	100
