starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:59 2019	1566298199	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:42 2019	1566298182	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:39 2019	1566298179	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:52 2019	1566298192	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:39 2019	1566298179	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:42 2019	1566298182	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:39 2019	1566298179	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:58 2019	1566298198	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:39 2019	1566298179	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:58 2019	1566298198	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:52 2019	1566298192	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:59 2019	1566298199	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:59 2019	1566298199	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:59 2019	1566298199	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:59 2019	1566298199	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:39 2019	1566298179	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:58 2019	1566298198	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:58 2019	1566298198	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:58 2019	1566298198	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:39 2019	1566298179	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:56 2019	1566298196	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:58 2019	1566298198	0	0	0	0
Tue Aug 20 12:49:40 2019	1566298180	0	0	0	0
Tue Aug 20 12:49:43 2019	1566298183	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:41 2019	1566298181	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:59 2019	1566298199	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:44 2019	1566298184	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:37 2019	1566298177	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:50:02 2019	1566298202	0	0	0	0
Tue Aug 20 12:49:38 2019	1566298178	0	0	0	0
Tue Aug 20 12:49:45 2019	1566298185	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:49 2019	1566298189	0	0	0	0
Tue Aug 20 12:49:51 2019	1566298191	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:49:48 2019	1566298188	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:57 2019	1566298197	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:50:01 2019	1566298201	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
Tue Aug 20 12:49:52 2019	1566298192	0	0	0	0
Tue Aug 20 12:50:03 2019	1566298203	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:36 2019	1566298176	0	0	0	0
Tue Aug 20 12:49:35 2019	1566298175	0	0	0	0
Tue Aug 20 12:49:47 2019	1566298187	0	0	0	0
Tue Aug 20 12:49:46 2019	1566298186	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:53 2019	1566298193	0	0	0	0
Tue Aug 20 12:49:54 2019	1566298194	0	0	0	0
Tue Aug 20 12:49:55 2019	1566298195	0	0	0	0
Tue Aug 20 12:50:00 2019	1566298200	0	0	0	0
Tue Aug 20 12:49:50 2019	1566298190	0	0	0	0
